1412539892,24,23750,0,616627906
1412539894,24,23750,0,618594098
1412540305,24,25750,0,265531600
1412540307,24,25750,0,267508205
1412542254,24,27687,0,2214480580
1412542256,24,27687,0,2216708010
1412542269,24,27687,0,2229017481
1412542270,24,27687,0,2230370969
1412545449,24,26312,0,2474611802
1412545459,24,26312,0,2484650692
1412545745,24,26312,0,2719848280
1412545746,24,26312,0,2721313596
1412545747,24,26312,0,2722550751
1412546776,24,24375,0,903601238
1412546961,24,24375,0,1088440900
1412547088,24,24375,0,1215682819
