1412546076,17,24875,0,203259608
1412546109,17,24875,0,236067724
1412546145,17,24875,0,272728202
1412546907,17,24375,0,1034843387
1412547024,17,24375,0,1151040873
1412547025,17,24375,0,1152430829
1412548023,17,23875,0,2150663196
1412548057,17,23875,0,2184471042
1412548060,17,23875,0,2186992413
1412548974,17,23875,0,3101123820
1412549638,17,25625,0,3765324141
1412549728,17,25625,0,3855753998
1412549774,17,25625,0,3901426467
1412550158,17,25625,0,4285894906
1412550357,17,25937,0,189919265
1412550531,17,25937,0,363160038
1412550704,17,25937,0,536388446
